service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10686,1,1,1,1,1,1,1,20170501,20170901
10681,1,1,1,1,1,1,1,20170501,20170901
10678,1,1,1,1,1,1,1,20170514,20170901
10679,1,1,1,1,1,1,1,20170902,20171105
10680,1,1,1,1,1,1,1,20170501,20170901
10683,1,1,1,1,1,1,0,20170502,20170901
10675,0,0,0,0,0,1,1,20170902,20171105
10676,0,0,0,0,0,1,1,20170514,20170903
10673,0,0,0,0,0,1,1,20170514,20170827
10674,1,1,1,1,1,0,0,20170918,20170929
10677,0,0,0,0,0,1,1,20170909,20171105
10749,0,0,0,0,1,0,0,20170929,20171020
10748,1,1,1,1,1,0,0,20170918,20171020
10696,1,1,1,1,1,0,0,20170502,20170716
10698,1,1,1,1,1,0,0,20170502,20170716
10728,1,1,1,1,1,1,1,20170501,20171105
10692,0,0,0,0,0,1,1,20170501,20171105
10689,1,1,1,1,1,1,1,20170502,20171105
10656,1,1,1,1,1,0,0,20170502,20171103
10694,0,0,0,0,0,1,0,20170526,20171104
10693,0,0,0,0,0,1,1,20170525,20171105
10729,0,0,0,0,0,1,1,20170527,20171105
10690,1,1,1,1,1,1,1,20170501,20171105
10708,1,0,0,0,0,0,1,20170508,20170514
10717,1,1,1,1,1,0,0,20170522,20170630
10716,1,1,1,1,1,0,0,20170703,20171020
10711,0,0,0,0,0,1,1,20170501,20171105
10710,1,1,1,1,1,1,1,20170501,20171105
10709,0,0,0,0,0,1,1,20170501,20171105
10714,0,0,0,0,0,1,1,20170501,20171105
10713,1,1,1,1,1,1,1,20170501,20171105
10719,0,0,0,0,0,0,1,20170501,20171105
10720,0,0,0,0,0,1,0,20170506,20171104
10721,1,1,1,1,1,1,1,20170918,20171022
10722,1,1,1,1,1,1,1,20170501,20171105
10414,1,1,1,1,1,1,0,20170502,20171104
10699,1,1,1,1,1,0,0,20170501,20170512
9770,0,1,1,0,0,0,0,20171031,20171101
10702,1,1,1,1,1,0,0,20170515,20170524
10704,1,1,1,1,1,0,0,20170626,20170707
10705,0,0,0,0,0,0,1,20170508,20170514
10488,1,1,1,1,1,0,0,20170605,20170609
10706,0,0,0,0,0,1,1,20170508,20170514
10743,0,0,0,0,0,1,1,20170501,20171105
10744,0,0,0,0,1,1,0,20170526,20170527
10745,0,0,0,0,0,0,1,20170501,20171105
10734,1,1,1,1,1,0,1,20170501,20171105
10741,1,1,1,1,1,1,1,20170501,20171105
10742,1,1,1,1,1,1,1,20170501,20171105
10740,1,1,1,1,1,1,1,20170529,20170709
10737,0,0,0,1,1,0,0,20170525,20170526
10747,0,0,0,0,0,1,0,20170529,20171104
10746,1,0,0,0,0,0,1,20170501,20171105
10736,1,1,1,1,1,0,0,20170612,20170716
10738,1,1,1,1,1,1,1,20170501,20171105
10739,1,1,1,1,1,1,1,20170501,20171105
9487,1,1,1,1,1,0,0,20170515,20170604
